Generador,Escenario,UC,PG_0,RES_UP,RES_DN
Dona_Carmen,Seco.Dmedia,1,39.9,26.6,0
Santa_Lidia,Seco.Dmedia,0,0,0,0
Nehuenco_02_Diesel,Seco.Dmedia,1,234.6,156.4,0
Los_Vientos,Seco.Dmin,0,0,0,0
Espinos_01,Seco.Dmin,0,0,0,0
Nueva_Renca_Diesel,Seco.Dmin,0,0,0,0
Cardones,Seco.Dmin,0,0,0,0
Los_Pinos,Seco.Dmin,0,0,0,0
Teno,Seco.Dmin,0,0,0,0
Taltal_02_Diesel,Seco.Dmin,0,0,0,0
Coronel_TG_Diesel,Seco.Dmin,0,0,0,0
Taltal_01_Diesel,Seco.Dmin,0,0,0,0
Antilhue_TG_02,Seco.Dmin,0,0,0,0
Antilhue_TG_01,Seco.Dmin,0,0,0,0
Nehuenco_01_Diesel,Seco.Dmin,0,0,0,0
Dona_Carmen,Seco.Dmin,0,0,0,0
Santa_Lidia,Seco.Dmin,0,0,0,0
Nehuenco_02_Diesel,Seco.Dmin,0,0,0,0
Los_Condores,Humedo.Dmax,1,150,0,0
Pehuenche,Humedo.Dmax,1,560,0,0
Angostura,Humedo.Dmax,1,118.2,209.8,0
Machicura,Humedo.Dmax,1,94,0,0
Cipreses,Humedo.Dmax,1,105,0,0
Pangue,Humedo.Dmax,1,450,0,0
Rapel,Humedo.Dmax,1,375,0,0
Ralco,Humedo.Dmax,1,690,0,0
Antuco,Humedo.Dmax,1,320,0,0
Canutillar,Humedo.Dmax,1,169,0,0
El_Toro,Humedo.Dmax,1,450,0,0
Colbun,Humedo.Dmax,1,457,0,0
Los_Condores,Humedo.Dmedia,1,0,150,0
Pehuenche,Humedo.Dmedia,1,175,385,0
Angostura,Humedo.Dmedia,1,328,0,0
Machicura,Humedo.Dmedia,1,94,0,0
Cipreses,Humedo.Dmedia,1,105,0,0
Pangue,Humedo.Dmedia,1,450,0,0
Rapel,Humedo.Dmedia,1,375,0,0
Ralco,Humedo.Dmedia,1,690,0,0
Antuco,Humedo.Dmedia,1,320,0,0
Canutillar,Humedo.Dmedia,1,169,0,0
El_Toro,Humedo.Dmedia,1,450,0,0
Colbun,Humedo.Dmedia,1,457,0,0
Los_Condores,Humedo.Dmin,1,0,150,0
Pehuenche,Humedo.Dmin,1,120,385,0
Angostura,Humedo.Dmin,0,0,0,0
Machicura,Humedo.Dmin,1,94,0,0
Cipreses,Humedo.Dmin,1,0,0,0
Pangue,Humedo.Dmin,1,414.7204903,0,0
Rapel,Humedo.Dmin,1,375,0,0
Ralco,Humedo.Dmin,1,690,0,0
Antuco,Humedo.Dmin,0,0,0,0
Canutillar,Humedo.Dmin,0,0,0,0
El_Toro,Humedo.Dmin,1,0,0,0
Colbun,Humedo.Dmin,1,457,0,0
Los_Condores,Medio.Dmax,1,0,150,0
Pehuenche,Medio.Dmax,1,185.2774562,374.7225438,0
Angostura,Medio.Dmax,1,328,0,0
Machicura,Medio.Dmax,1,94,0,0
Cipreses,Medio.Dmax,1,105,0,0
Pangue,Medio.Dmax,1,450,0,0
Rapel,Medio.Dmax,1,0,0,0
Ralco,Medio.Dmax,0,0,0,0
Antuco,Medio.Dmax,1,320,0,0
Canutillar,Medio.Dmax,0,0,0,0
El_Toro,Medio.Dmax,1,0,10.27745622,0
Colbun,Medio.Dmax,1,457,0,0
Los_Condores,Medio.Dmedia,1,0,150,0
Pehuenche,Medio.Dmedia,0,0,0,0
Angostura,Medio.Dmedia,1,328,0,0
Machicura,Medio.Dmedia,0,0,0,0
Cipreses,Medio.Dmedia,1,105,0,0
Pangue,Medio.Dmedia,1,450,0,0
Rapel,Medio.Dmedia,1,0,0,0
Ralco,Medio.Dmedia,0,0,0,0
Antuco,Medio.Dmedia,1,320,0,0
Canutillar,Medio.Dmedia,0,0,0,0
El_Toro,Medio.Dmedia,1,0,385,0
Colbun,Medio.Dmedia,1,457,0,0
Los_Condores,Medio.Dmin,1,0,150,0
Pehuenche,Medio.Dmin,0,0,0,0
Angostura,Medio.Dmin,1,328,0,0
Machicura,Medio.Dmin,0,0,0,0
Cipreses,Medio.Dmin,1,89.73122945,0,0
Pangue,Medio.Dmin,1,450,0,0
Rapel,Medio.Dmin,1,0,0,0
Ralco,Medio.Dmin,0,0,0,0
Antuco,Medio.Dmin,1,320,0,0
Canutillar,Medio.Dmin,0,0,0,0
El_Toro,Medio.Dmin,1,0,385,0
Colbun,Medio.Dmin,1,457,0,0
Los_Condores,Seco.Dmax,1,0,0,0
Pehuenche,Seco.Dmax,1,168,0,0
Angostura,Seco.Dmax,1,98.4,0,0
Machicura,Seco.Dmax,1,28.2,0,0
Cipreses,Seco.Dmax,1,0,0,0
Pangue,Seco.Dmax,1,135,0,0
Rapel,Seco.Dmax,1,84.84245622,0,0
Ralco,Seco.Dmax,1,207,0,0
Antuco,Seco.Dmax,1,96,0,0
Canutillar,Seco.Dmax,1,50.7,0,0
El_Toro,Seco.Dmax,1,135,0,0
Colbun,Seco.Dmax,0,0,0,0
Los_Condores,Seco.Dmedia,1,0,0,0
